id,description
-_aaMGK6GGw_57_61,"The image shows a close-up of a person's hands interacting with a small object, possibly a toy or a piece of jewelry. The background is indistinct, but it appears to be an indoor setting with a pinkish hue. The focus is on the hands and the object, suggesting a moment of interaction or play"
-_hbPLsZvvo_172_179,"The image shows a close-up of a glass bowl containing chopped vegetables, including carrots and potatoes, being stirred with a white spatula. The bowl is placed on a wooden cutting board, and there are other kitchen items in the background, including a knife and a pepper grinder."
-_hbPLsZvvo_18_25,The image shows a close-up of a person's hands using a white cutting board to chop green vegetables in a glass bowl on a wooden cutting board.
-_hbPLsZvvo_19_25,The image shows a close-up of a person's hands using a white cutting board to chop green vegetables in a glass bowl on a wooden cutting board.
-_hbPLsZvvo_19_26,"The image shows a close-up of a person's hand holding a slice of cucumber over a glass measuring cup filled with sliced cucumbers. To the right of the measuring cup, there is a small glass bowl containing a granular substance, likely salt. The background is a wooden surface."
-_hbPLsZvvo_211_219,"The image shows a close-up of a frying pan on a stove, where scrambled eggs are being cooked. The eggs are yellow and fluffy, and a spatula is being used to stir them."
-_hbPLsZvvo_269_275,"The image shows a metal cooling rack placed on a wooden surface, with several pieces of food on it, including what appears to be fried chicken and halved zucchini."
-_hbPLsZvvo_288_305,"The image shows a close-up of a person's hands working on a sushi roll. The sushi roll is placed on a wooden cutting board, and the person is using a bamboo sushi mat to roll the sushi. The sushi roll appears to be made with nori (seaweed) and is garnished with sesame seeds"
-_hbPLsZvvo_323_328,"The image shows a woman in a kitchen preparing sushi with chopsticks, accompanied by a small dog sitting on the counter next to her. The woman is wearing a patterned top, and there are various kitchen items in the background, including a microwave, a bowl of fruit, and a vase with flowers."
-_hbPLsZvvo_43_55,"The image shows a woman preparing food in a kitchen, surrounded by various items such as a bowl of fruit, a vase with flowers, and a bottle of sauce. She is standing at a counter with a cutting board and vegetables, while a small dog sits on the counter next to her."
-_hbPLsZvvo_49_55,The image shows a close-up of a person's hands cutting green leafy vegetables on a wooden cutting board. The person is using a knife to slice the leafy greens into smaller pieces.
-_hbPLsZvvo_5_8,"The image shows a woman standing in a kitchen with a small dog on a scale, surrounded by various kitchen items such as a teapot, bowls, and a vase with flowers."
-bjOB4zS0uE_100_105,"In the image, a young woman is holding a clear wine glass in her right hand. She is standing in a kitchen, with a microwave visible in the background. The woman is wearing a floral top and has pink nail polish on her nails. She is looking directly at the camera with a slight smile."
-dm-ds5rRaM_44_52,"The image captures a moment of intense competition in a track and field event, with athletes sprinting on a red track. One athlete, wearing a black and yellow uniform, is leading the race, while the other competitors are closely following behind. The scoreboard at the bottom of the image indicates that the race is in progress,"
-joBOHlg5J0_72_80,"The image shows a close-up of a person using a makeup brush on their face, with the text ""Lightly Dab Your Entire Face"" displayed at the bottom."
-mAoVOhKy0c_4_9,"In the image, a yellow train is crossing a metal truss bridge over a river. The train is moving from the left to the right side of the frame, and the bridge spans the width of the river below. In the background, there is a snow-capped mountain, and the sky is clear with a few"
-pUwIypksfE_13_23,"In the image, two panda bears are interacting with a green toy. One panda is standing on its hind legs, reaching up towards the toy, while the other is sitting on the ground, seemingly observing or waiting for its turn."
-rkErLY0rRc_26_35,"The image is a black and white photograph featuring a woman with blonde hair smiling at the camera. She appears to be outdoors, surrounded by white flowers, and there is a logo in the bottom right corner that reads ""SOMETHING WEIRD."""
-rkErLY0rRc_63_67,"The image is a black and white photograph of a woman standing outdoors, holding a large watering can. She is wearing a light-colored dress and appears to be smiling as she looks towards the camera."
-rvjK0lE3z4_33_43,"A person is chopping vegetables on a wooden cutting board in a kitchen, surrounded by various ingredients and kitchen utensils."
-s4-6QTT7HE_235_241,"The image shows a group of people dressed in traditional attire, performing a dance in an outdoor setting with green hills in the background. The dancers are adorned in colorful costumes, with some wearing headdresses and others holding musical instruments. The scene is set against a cloudy sky, and there is a watermark at the bottom of the"
-t-ZWaJeH-o_0_15,"In the image, two women are standing in a room, one of whom is holding a microphone and appears to be speaking or singing. The room has a window with a sign in the background, and there is a pink piggy bank on a shelf."
-uT_1VDvXok_8_15,"The image captures a tender moment between an adult rhinoceros and a baby rhinoceros in a pen filled with hay. The adult rhinoceros is leading the way, while the baby rhinoceros follows closely behind."
-vKO3uSG6Do_3_14,"The image features three animated characters, each holding a microphone and performing a dance routine. The character on the left is dressed in a white outfit with a blue hat, the character in the center is wearing a green outfit with a brown hat, and the character on the right has pink hair and is wearing a white dress."
-vg3vR86fu0_1_6,"In the image, a person is riding a bicycle on a dirt road, passing by a pickup truck parked on the side. The person is wearing a helmet and appears to be in motion."
-wa0umYJVGg_100_115,"The image captures a close-up view of a pot filled with boiling water, where two eggs are being cooked. The eggs are partially submerged in the water, and steam is rising from the surface, indicating that the water is at a high temperature. The background is blurred, but it appears to be a kitchen setting."
-wa0umYJVGg_117_123,"The image shows a close-up of a person's hands washing an egg under running water. The egg is being scrubbed with a sponge, and the water is splashing around it."
-wa0umYJVGg_139_157,"The image shows a close-up of a person's hand holding a small white object, possibly a piece of food, over a wooden surface. The hand appears to be in the process of either picking up or placing down the object."
-wa0umYJVGg_168_176,"The image shows a close-up of a stainless steel pot on a stove, filled with water and green leafy vegetables being stirred with wooden chopsticks."
-wa0umYJVGg_23_41,"The image captures a close-up view of a frying pan on a stove, where two pieces of meat are being cooked. The meat is golden brown, indicating it is being cooked to perfection. The pan is placed on a burner, and the meat is sizzling in the oil, suggesting it is being fried."
-wa0umYJVGg_271_276,"A woman in a maroon sweater is preparing food in a kitchen, using a green cutting board, a knife, and a pot on a stove. She is surrounded by various kitchen items, including a microwave, a toaster, and a vase with flowers. There is also a stuffed animal, possibly a teddy bear,"
-wa0umYJVGg_286_290,"The image captures a close-up view of a pot filled with boiling water, where a pair of chopsticks is being used to stir the contents of the pot."
-zOrV-5vh1A_69_76,"The image captures a dynamic scene of colorful confetti scattered across a concrete surface. The confetti, in hues of red, pink, blue, green, and yellow, appears to be in motion, suggesting a playful or celebratory event. In the background, there is a blurred view of what seems to be a vehicle"
00jrXRMlZOY_0_10,"The image captures a moment of gentle interaction between a person's hand and a frog on a wooden surface. The frog, with its greenish-brown skin, is positioned on the left side of the frame, while the person's hand is on the right, gently petting the frog's back. The background features a"
02Z-kuB3IaM_2_13,"The image shows a forest scene with a large bird, possibly a hawk, perched on a tree branch. The bird is facing away from the camera, and the forest floor is covered with fallen leaves and twigs. The sky is overcast, suggesting it might be a cool or cloudy day."
04Gt01vatkk_248_265,"A young woman in a red shirt is chopping vegetables on a white cutting board in a kitchen. She is using a knife to cut an onion and a piece of green vegetable. There are two red candles on the counter, and the kitchen has wooden cabinets and a tiled backsplash."
04Gt01vatkk_308_321,A woman in a red shirt is chopping green vegetables on a white cutting board in a kitchen. She is using a knife to cut the vegetables into smaller pieces. There is a red bowl and a white container on the counter next to her. The kitchen has wooden cabinets and a tiled backsplash.
05Gtb7_9tLU_0_9,"In the image, a man is standing next to a horse-drawn cart with a blue canopy. The cart is parked on a street, and there are other people and vehicles in the background. The man appears to be interacting with the cart, possibly loading or unloading goods."
05gNigkqfNU_11_23,"The image shows a close-up of a person's hand holding a potato over a wooden cutting board. The person is using a knife to cut the potato into smaller pieces. The background is blurred, but it appears to be an indoor setting with warm lighting."
05gNigkqfNU_24_32,"The image shows a close-up of a person chopping potatoes on a wooden cutting board. The person is using a large knife to cut the potatoes into smaller pieces. The background is blurred, but it appears to be a kitchen setting."
05gNigkqfNU_25_34,"The image shows a close-up of a person chopping potatoes on a wooden cutting board. The person is using a large knife to cut the potatoes into smaller pieces. The background is blurred, but it appears to be a kitchen setting."
05gNigkqfNU_78_84,"The image shows a close-up of a person peeling a hard-boiled egg on a wooden cutting board. The egg is being sliced in half, and the person is using a knife to remove the shell. The background is blurred, but it appears to be a kitchen setting. The text ""summerkitchen.tv"""
06CbMa0kDr8_3_13,"The image captures a close-up of a red panda interacting with a human hand. The red panda, with its reddish-brown fur and white markings on its face and ears, is gently nibbling on the fingers of the person's hand. The setting appears to be a natural, outdoor environment with green foliage in the"
08pVpBq706k_175_212,"In the image, a black and white cat is standing on a white couch. The cat is facing away from the camera, and its tail is extended behind it. The couch appears to be made of leather or a similar material, and there is a window in the background. The cat seems to be exploring or playing on"
0GXq1An3yHI_22_35,The image shows a close-up of a hand chopping green chilies on a red cutting board. The hand is using a large knife to cut the chilies into smaller pieces.
0I4VKj4d0WI_24_40,"In the image, a person is standing on a stage, wearing a blue outfit with a patterned design. They are holding a small object in their hands and appear to be speaking or performing. The background is a dark curtain, and there is a watermark at the bottom of the image that reads ""YourDailyMedia.com"
0IDJG0q9j_k_1_24,"The image shows a racetrack with a car in motion on the track. The track is surrounded by green grass and trees, and the sky is overcast."
0M-PyX2DbZc_25_31,"In the image, two construction workers are standing in a room, both wearing yellow hard hats. One worker is pointing towards the camera, while the other is smiling broadly. In the background, there is a framed picture on the wall and a trophy on a shelf."
0NPtAv3_uVI_46_54,"In the image, a person is water skiing on a body of water, wearing a life jacket and holding onto a rope attached to a boat. The background features a mountainous landscape under a clear sky."
0ONJfp95yoE_1_10,"In the image, a white and black cat is standing on its hind legs on a wooden table, with its front paws raised as if it's reaching for something. The cat is positioned in front of a window with closed blinds, and there's a red object, possibly a candle or a small box, on the"
0RWJEOScToE_414_421,A person is washing a large piece of raw meat under running water in a kitchen sink.
0SMOK2ql7Pg_5_12,"In the image, a cat is standing upright in a bathtub filled with water. The cat appears to be looking upwards, possibly at the camera or something above it. The bathtub is positioned against a white wall, and there are no other objects or animals visible in the scene."
0bSz70pYAP0_5_15,"The image captures a single-engine propeller plane soaring through a clear blue sky. The plane, painted in shades of green and white, is captured mid-flight, moving from the left to the right of the frame. The clear sky provides a stark contrast to the vibrant colors of the plane, emphasizing its solitary journey across the"
0hyZ__3YhZc_279_283,A hand is pouring olive oil from a bottle into a red pot on a stove.
0hyZ__3YhZc_289_295,"In the image, a hand is seen holding a white plate over a red pot on a stove. The pot contains a colorful mixture of chopped vegetables, including carrots, onions, and green peppers. The hand appears to be in the process of transferring the contents of the pot onto the plate."
0hyZ__3YhZc_302_307,"The image captures a close-up of a hand stirring a vibrant mixture of chopped vegetables in a red pot on a stove. The vegetables include orange carrots, green bell peppers, and white onions. The hand is using a wooden spoon to mix the ingredients, creating a colorful and appetizing dish."
0hyZ__3YhZc_341_348,"The image shows a close-up of a red pot on a stove, filled with a colorful mixture of chopped vegetables including carrots, peppers, and onions. A hand is seen holding a jar with a red label, presumably containing a spice or seasoning, and appears to be adding it to the pot."
0hyZ__3YhZc_352_356,"A hand pours a can of tomato sauce into a red pot on a stove, which contains a mixture of chopped vegetables and a thick red sauce."
0hyZ__3YhZc_364_370,"The image shows a hand holding a can labeled ""Stater"" over a red pot on a stove. The can appears to be filled with tomato sauce, and the hand is in the process of pouring the sauce into the pot."
0hyZ__3YhZc_380_384,"A hand pours a can of crushed tomatoes into a large red pot on a stove, which contains a simmering red sauce with visible chunks of vegetables."
0hyZ__3YhZc_388_394,"The image shows a close-up of a red pot on a stove, with a hand holding a white bowl filled with red kidney beans. The beans are being poured into the pot, which already contains a mixture of vegetables and other ingredients."
0hyZ__3YhZc_410_417,"The image shows a close-up of a red pot on a stove, with a person's hand holding a measuring spoon filled with a brown spice, likely chili powder, over the pot."
0hyZ__3YhZc_418_424,"The image shows a close-up of a red pot on a stove, filled with a mixture of beans and spices. A hand is seen sprinkling a brown spice, likely cumin, into the pot."
0hyZ__3YhZc_485_490,"A hand holding a wooden spoon stirs a large red pot filled with a red, chunky soup on a stove."
0hyZ__3YhZc_562_568,"The image shows a close-up of a bowl of chili with beans and vegetables being stirred with a spoon. The bowl is placed on a beige plate, and there is a piece of bread to the right of the bowl."
0hyZ__3YhZc_575_580,"In the image, a hand is seen holding a slice of white bread over a bowl of chili. The bowl is placed on a beige plate, and the chili appears to be rich and hearty, with visible chunks of beans and vegetables."
0hyZ__3YhZc_598_603,"A man wearing a black shirt and a yellow hat is standing in a kitchen, holding a spoon and eating from a bowl. The kitchen has green walls, a red curtain, and various kitchen utensils hanging on the wall."
0hyZ__3YhZc_632_637,"A man wearing a black apron and a yellow hat is standing in a kitchen, holding a fork and spoon over a bowl of food. He appears to be in the process of eating or preparing a meal."
0k1Ak8aTMVI_4_12,"In the image, two cats are peeking out from behind a plastic cat gate. One cat is on the left side of the gate, while the other is on the right side. The gate is located in a hallway with a carpeted floor and a green wall in the background."
0lh_UWF9ZP4_103_110,"The image shows a close-up of a black wok on a stove, with a hand holding a wooden spatula. The spatula is stirring a yellow mixture, which appears to be scrambled eggs, and there is a small amount of red liquid in the center of the wok."
0lh_UWF9ZP4_138_145,The image shows a close-up of a person's hand using a knife to cut a piece of yellow dough on a wooden cutting board. The hand is in the process of slicing the dough into smaller pieces.
0lh_UWF9ZP4_148_155,The image shows a close-up of a person's hands holding a skewer with a piece of meat on it. The meat appears to be raw and is being prepared for cooking. The person is using a wooden skewer to hold the meat in place.
0lh_UWF9ZP4_157_160,"The image shows a woman standing in a kitchen with a small dog sitting on the stove. The woman is wearing a black top, and there are various kitchen items on the counter, including a pot, a spoon, and a bowl. The dog appears to be looking up at the woman."
0lh_UWF9ZP4_165_170,"The image captures a close-up view of a pot filled with boiling water, where two skewers of food are being cooked. The food appears to be shrimp, and the water is bubbling around the skewers, indicating that they are being fried."
0lh_UWF9ZP4_174_178,"The image shows a close-up of a person's hands working with shrimp, likely preparing them for cooking or serving."
0lh_UWF9ZP4_178_182,The image shows a close-up of a person's hand holding a cooked shrimp over a wooden cutting board. The shrimp appears to be peeled and ready to be served.
0lh_UWF9ZP4_183_190,The image shows a close-up of a person's hands using a knife to cut a piece of pink fish on a wooden cutting board.
0lh_UWF9ZP4_191_197,The image shows a close-up of a person's hand using a knife to cut a piece of raw fish on a wooden cutting board.
0lh_UWF9ZP4_199_207,The image shows a close-up of a person's hand slicing a piece of salmon on a wooden cutting board. The hand is using a knife to cut the salmon into smaller pieces.
0lh_UWF9ZP4_215_226,"The image shows a close-up of a person's hand holding a knife, which is being used to cut through a piece of white, translucent material on a wooden cutting board. The hand appears to be in the process of slicing the material into smaller pieces."
0lh_UWF9ZP4_21_26,The image shows a close-up of a person's hand using a knife to cut a piece of ginger on a wooden cutting board. The ginger is being sliced into smaller pieces.
0lh_UWF9ZP4_27_31,The image shows a close-up of a person's hand using a knife to chop a yellowish ingredient on a wooden cutting board.
0lh_UWF9ZP4_38_46,"The image shows a clear glass bowl placed on a wooden surface. Inside the bowl, there is a yellowish liquid that appears to be oil or a similar substance. The bowl is empty, and there are no other objects or actions depicted in the image."
0lh_UWF9ZP4_50_60,"The image shows a close-up of a person's hand holding a white spoon over a glass bowl filled with white rice. The spoon is being used to sprinkle a yellowish-brown powder over the rice. The background is blurred, but it appears to be a kitchen setting."
0lh_UWF9ZP4_62_69,"The image shows a close-up of a person's hand holding a white spoon over a glass bowl filled with cooked rice. The rice appears to be seasoned with herbs or spices, and the spoon is being used to stir or mix the contents of the bowl."
0lh_UWF9ZP4_71_77,"The image shows a close-up of a person's hands cracking two eggs into a glass bowl. The person is using a white eggbeater to break the yolks and whites together. To the right of the bowl, there is an empty glass bowl. The background is blurred, but it appears to be a kitchen setting"
0lh_UWF9ZP4_79_82,"The image shows a close-up of a hand holding a metal whisk over a glass mixing bowl containing two eggs. The whisk is being used to mix the eggs in the bowl, which is placed on a wooden surface."
0lh_UWF9ZP4_82_87,"The image shows a close-up of a person's hands mixing a yellow mixture in a glass bowl on a wooden surface. The mixture appears to be a batter or dough, and the person is using a whisk to mix it."
0lh_UWF9ZP4_94_103,"A woman in a black shirt is cooking in a kitchen, stirring a pan on a stove with a spatula. There are various kitchen items in the background, including a microwave, a blender, and a bowl of fruit. The woman appears focused on her cooking task."
0piwbTivpDg_10_40,"In the image, a person with turquoise hair is standing in front of a bathroom mirror. They are wearing a black t-shirt and a chain necklace. The mirror reflects the person's image, as well as the interior of the bathroom, which includes a sink and various toiletries."
0sUL0KCIc48_15_25,"The image shows a snow-covered landscape with a pathway leading through it. There are trees on either side of the path, and the ground is covered in a thick layer of snow. The sky is overcast, and the overall scene is serene and quiet."
0vmoZEaN_-o_4_12,"In the image, a small orange and white cat is playfully interacting with a large green watermelon on a tiled floor. The cat is positioned on top of the watermelon, with its front paws resting on the fruit and its hind legs trailing behind. The cat's tail is curled around the watermelon, adding"
0vmoZEaN_-o_5_21,"In the image, a small white and orange cat is playfully wrestling with a large green watermelon on a tiled floor. The cat's front paws are wrapped around the watermelon, and it appears to be enjoying the challenge."
0wutCy2ZGOQ_4_10,"In the image, three children are playing in a park. One child is holding a football, while the other two are running towards him. The background shows a fence and some buildings."
0xx13BuvVmo_25_36,"The image shows a young child standing in a bathtub, being showered with water from a handheld showerhead. The child appears to be enjoying the bath, with wet hair and a joyful expression on their face."
11xs9mFKObs_0_8,"In the image, there are two penguins standing next to each other on a street. The penguin on the left is facing the camera, while the penguin on the right is facing away from the camera. In the background, there is a building with a sign that reads ""REALTV""."
16iNk1hLJt4_37_40,"In the image, a group of athletes is lined up on a track, preparing for a race. They are wearing white uniforms and are lined up in a single file, with one athlete slightly ahead of the rest. The athlete at the front of the line is holding a baton, indicating that they are about to start"
1Dty_eGY9Ec_123_133,"In the image, a person is applying white face paint to another person's face. The person applying the face paint is wearing a colorful headband and large hoop earrings, while the person receiving the face paint is wearing a white shirt. The background features two paintings, one with a unicorn and the other with a horse."
1N_Ic2pBM1o_2_23,"In the image, a woman is seated on a couch, playing a light-colored acoustic guitar. She is wearing a red shirt with the word ""JOY"" printed on it. The setting appears to be a living room, with a framed picture on the wall in the background."
1QVn0FffExM_14_24,"The image shows a lion lying on the ground in a grassy area with patches of dirt. The lion appears to be resting or possibly yawning, with its mouth slightly open. There are no other animals or people visible in the scene."
1RchFBCT9JU_43_53,"The image shows a hedgehog on a wooden floor, sniffing around a pile of food. The hedgehog appears to be curious about the food."
1Sp2__RCT0c_11_15,"The image shows a large explosion occurring against a blue background. The explosion appears to be in the center of the frame, with a bright, fiery glow surrounding it. There is a small, dark object at the bottom of the explosion, which could be a piece of debris or a projectile. In the bottom right corner of"
1TjqADyYyxI_36_45,"The image shows a bicycle lying on its side on a grassy area next to a road. There is a person lying on the ground near the bicycle, partially obscured by it."
1_6V30igzIk_5_15,"In the image, a person is gently petting a small, fluffy animal on a vibrant orange towel. The animal appears to be a young bird, possibly a chick, with soft, downy feathers. The person's hand is visible, gently stroking the bird. In the background, there are various items including a"
1dA1RQgPN3c_72_82,"In the image, a person is seated on a chair in front of a table adorned with three pumpkins and a scarecrow. The person is holding a white plastic bag with a black design on it. The scene is set outdoors, with a wooden fence and greenery in the background."
1dYpcVv6n3Y_0_18,"The image shows a baby wearing a diaper, standing in front of a flat-screen TV in a living room. The baby appears to be interacting with the TV, possibly playing a game or watching something. The room has a wooden coffee table and a colorful painting on the wall."
1dfR0A_BXjw_401_408,"In the image, a person is using a paper towel to clean a black tray. The tray is placed on a red tablecloth with a floral pattern."
1dfR0A_BXjw_441_448,"The image shows a close-up of a baking tray with a loaf of bread on it, dusted with herbs. A hand is seen sprinkling something from a green container onto the bread. The background is a red fabric with a floral pattern."
1dfR0A_BXjw_524_532,The image shows a person cutting a loaf of bread with a knife on a cutting board. The bread appears to be freshly baked with visible seeds on its surface.
1dfR0A_BXjw_545_560,The image shows a close-up of a person's hand using a knife to spread butter on a piece of bread. The bread appears to be freshly baked with visible seeds on its surface.
1dfR0A_BXjw_590_600,"A man wearing a red shirt and a black apron with the text ""THE BEST BARBECUE SAUCE You'll Ever Taste!"" is standing in a kitchen. He is holding a piece of food in his hand and appears to be eating it. On the counter in front of him, there is a cutting board"
1hPxGmTGarM_9_19,"The image shows an orange cat lying on a white surface inside what appears to be a medical or veterinary setting. The cat is looking directly at the camera with its mouth open, possibly yawning or meowing."
1kYWws89W3Y_0_5,"The image shows a cat hanging upside down from the ceiling of a room. The cat is positioned in the center of the frame, with its body stretched out and its paws reaching towards the ceiling. The background is a plain wall, and there are no other objects or people visible in the image. The cat appears to"
1mIyMRPV8kg_9_17,"In the image, a black dog is standing on its hind legs on a green mat in front of a basketball hoop, attempting to dunk the ball into the hoop. A person wearing a gray shirt and blue shorts is standing nearby, watching the action. The setting appears to be an outdoor area with greenery in the background"
1pw5ZdRhiig_50_59,"In the image, a person is playing a bamboo flute in front of a patterned curtain. The individual is dressed in a black outfit with gold embroidery. The bamboo flute is held in both hands, and the person appears to be in the middle of a musical performance."
1qU-kF-km1Q_6_16,"A man wearing a blue sweater and an orange baseball cap is holding a small brown and white puppy in his hands. The puppy is looking up at the man, and the man appears to be speaking to the puppy. The background suggests an indoor setting, possibly a living room."
1qV4wfjTYIo_151_164,"In the image, a tabby cat with white paws is seen drinking water from a bowl placed on an orange tray. The cat is standing on a wooden floor, and there is a white wall in the background."
1qxMJLkHDLw_0_9,"In the image, two men are standing in a dimly lit room. The man on the left is wearing a white tank top and has a beard, while the man on the right is wearing a light-colored shirt with a purple sash. They appear to be engaged in a conversation."
1rECrfrdNTo_200_207,"The image shows a close-up of a wok filled with stir-fried vegetables, including carrots, bell peppers, and green onions. A fried egg is placed on top of the vegetables, and a red spatula is being used to stir the contents of the wok."
1sffYOXq4Iw_23_49,The image shows a close-up of a person's hand slicing a potato on a wooden cutting board. The hand is holding the potato steady with one hand while the other hand is using a knife to cut through the potato.
21uB8g-jDZI_70_79,"In the image, a person is riding a red tricycle on a gravel driveway in front of a brown wooden fence. The tricycle is in motion, and the person appears to be enjoying a leisurely ride."
229NvV0SRHw_0_5,"In the image, a young child is seated at a table, drinking from a green and purple sippy cup. The child is wearing a pink long-sleeve shirt with a floral pattern. On the table in front of the child, there is a plate with a piece of bread or toast. The setting appears to"
25NmudB2fqg_0_7,"The image captures a dynamic moment in a boxing match, where two boxers are engaged in combat. One boxer is wearing red and white striped shorts, while the other is clad in red boxing gloves. The intensity of the fight is palpable, with the boxer in red appearing to be in control of the situation. The"
27hs9W89FuI_0_10,"The image captures a dynamic moment in a soccer match, where a player in a blue jersey is in possession of the ball, while an opposing player in an orange jersey is attempting to intercept or challenge for the ball. The scene is set on a well-maintained green soccer field with white boundary lines."
27mxaePkYB4_8_14,"The image captures a tender moment between a mother giraffe and her calf in a zoo enclosure. The mother giraffe, with her distinctive brown and white spotted coat, extends her long neck to nuzzle her calf, a gesture of affection and care. The calf, smaller in size and with a lighter coat, stands close"
2F9jX7u5nOg_114_130,A woman in a pink tank top and blue jeans is riding a brown horse on a dirt path surrounded by trees. She is holding the reins and appears to be enjoying the ride.
2F9jX7u5nOg_83_97,"In the image, a person is riding a horse on a dirt road surrounded by lush greenery. The rider appears to be in motion, kicking up dust as they move along the path."
2FLsMPsywRc_45_63,"The image shows a close-up of a fish lying on a pan, with a yellow border framing the scene. The fish appears to be freshly caught, with visible scales and a speckled pattern on its body. There is text at the bottom of the image, but it is too small to read clearly."
2G9fkvBzzQE_10_20,"In the image, a grey parrot is perched on a table, being interviewed by a person holding a microphone. The parrot is looking up at the person, who is speaking into the microphone. The background is blurred, but it appears to be an indoor setting with blue curtains."
2HpZvL-_fiY_40_44,"In the image, two women are standing in a living room, engaged in a conversation. The woman on the left is wearing a black outfit, while the woman on the right is dressed in a maroon top and black pants. They appear to be in the middle of a discussion, with the woman on the right gest"
2I20ZTFHheg_96_104,"The image shows a close-up of a person's hand holding a pair of scissors, with the focus on the hand and the scissors. The background is blurred, but it appears to be a workshop or garage setting with various tools and equipment."
2KrdBUFeFtY_22_27,"The image captures a close-up of a person's hand holding a playing card over a black mousepad, with various items scattered around, including a can of soda and a computer mouse."
2L4oELbX8Ms_1_12,"The image features a woman in a black turtleneck standing against a blue background. She is gesturing with her right hand, which is raised and pointing upwards, while her left hand is resting on her hip. At the bottom of the image, there is text in Chinese that reads ""请文老师在教授"
2LgrGHWSy6k_122_135,"The image shows a woman sitting on a couch, drinking from a clear bottle. She is wearing a dark blazer and a white shirt. The setting appears to be a living room with a red wall in the background."
2MCpA01Sn_c_75_82,"The image captures a moment in a lush, green backyard, where an orange cat is perched on a tree branch. The cat, with its vibrant fur, is the focal point of the scene, surrounded by the tranquility of nature. The tree, with its verdant leaves, provides a stark contrast to the cat"
2Nn2CAeaI5k_72_77,"In the image, two children, one in a pink jacket and the other in a white long-sleeve shirt, are crossing a street in front of a shopping mall. The child in the pink jacket is raising their arm in the air, while the child in the white long-sleeve shirt is holding onto the"
2R_OAYQIkXM_14_22,"In the image, a person is holding a baby kangaroo in a fenced area. The person is wearing a purple shirt and sunglasses, and the kangaroo appears to be calm and comfortable in the person's arms."
2YhDTpzxd3c_102_105,"The image captures a tranquil scene at sunset, with a silhouette of a person standing next to a large tree. The person appears to be gazing out at the water, which reflects the warm hues of the setting sun. The sky is painted with shades of orange and yellow, creating a serene and peaceful atmosphere."
2YhDTpzxd3c_115_120,"In the image, a person wearing a white shirt is lying on the ground with their hands on the underside of a vehicle. The vehicle appears to be stationary, and the person seems to be inspecting or working on the vehicle's undercarriage."
2YhDTpzxd3c_149_154,"In the image, a man with a mustache is looking off to the side with a serious expression. He is wearing a blue shirt and appears to be in a dimly lit room. There is another person partially visible on the left side of the frame."
2YhDTpzxd3c_166_170,"The image shows a person hanging upside down from a rope in a dimly lit environment. The person is wearing a white sleeveless top and dark pants. The rope is attached to a higher point, and the person's hands are gripping the rope tightly. The background is dark and indistinct, making it difficult to"
